==== Generated with "pacman -Q" ====

a52dec 0.7.4-10
accounts-qml-module 0.7-2
acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
aic94xx-firmware 30-9
alacritty 0.4.0-1
alsa-lib 1.2.1.2-2
alsa-plugins 1.2.1-1
alsa-topology-conf 1.2.1-1
alsa-ucm-conf 1.2.1.2-1
alsa-utils 1.2.1-1
antlr4 4.7.2-1
aom 1.0.0.errata1-1
arc-gtk-theme 20190917-1
archlinux-keyring 20200108-1
argon2 20190702-2
aribb24 1.0.3-2
ascii 3.18-1
aspell 0.60.8-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
attica 5.65.0-2
attr 2.4.48-2
audacity 1:2.3.3-1
audit 2.8.5-6
autoconf 2.69-6
autoconf-archive 1:2019.01.06-1
automake 1.16.1-2
avahi 0.7+18+g1b5f401-3
bash 5.0.011-2
bc 1.07.1-3
binutils 2.33.1-2
bison 3.5-1
bluez-libs 5.52-2
boost-libs 1.71.0-4
breeze-default-cursor-theme 2.0-3
breeze-icons 5.65.0-2
brotli 1.0.7-3
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
bzip2 1.0.8-3
ca-certificates 20181109-2
ca-certificates-mozilla 3.49-1
ca-certificates-utils 20181109-2
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.200-1
capitaine-cursors 3-2
ccache 3.7.7-1
cdparanoia 10.2-7
cgdb 0.7.1-1
chromium 79.0.3945.117-1
chromium-widevine 1:4.10.1610.0-1
chrpath 0.16-2
clang 9.0.1-1
cloc 1.84-1
cmake 3.16.2-1
cmark-gfm 0.29.0.gfm.0-1
cmatrix 2.0-1
colord 1.4.4+9+g1ce26da-1
colordiff 1.0.18-2
compiler-rt 9.0.1-1
confuse 3.2.2-1
convertlit 1.8-8
coreutils 8.31-3
cracklib 2.9.7-2
cryptsetup 2.2.2-1
cups 2.3.1-1
cups-filters 1.26.1-1
curl 7.67.0-3
dav1d 0.5.2-1
db 5.3.28-5
dbus 1.12.16-3
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-5
dhcpcd 8.1.5-1
dialog 1:1.3_20191210-1
diffutils 3.7-3
discord 0.0.9-5
djvulibre 3.5.27-5
dmenu 4.9-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-3
double-conversion 3.1.5-1
e2fsprogs 1.45.4-2
ebook-tools 0.2.2-6
egl-wayland 1.1.4-2
eglexternalplatform 1.1-1
elfutils 0.177-2
em-keyboard 0.0.7-3
enchant 2.2.7-1
exiv2 0.27.2-1
expat 2.2.9-3
faad2 2.9.1-2
fakeroot 1.24-2
ffmpeg 1:4.2.1-4
fftw 3.3.8-1
file 5.37-5
filesystem 2019.10-2
findutils 4.7.0-2
flac 1.3.3-1
flex 2.6.4-3
fontconfig 2:2.13.91+24+g75eadca-1
foomatic-db-engine 4:4.0.13-1
fortune-mod 2.10.0-2
freetype2 2.10.1-1
frei0r-plugins 1.7.0-1
fribidi 1.0.8-1
fuse-common 3.9.0-1
fuse2 2.9.9-3
fzf 0.20.0-1
gavl 1.4.0-3
gawk 5.0.1-2
gc 8.0.4-3
gcc 9.2.0-4
gcc-libs 9.2.0-4
gconf 3.2.6+11+g07808097-6
gcr 3.34.0-1
gdb 8.3.1-4
gdb-common 8.3.1-4
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-1
gettext 0.20.1-3
ghc 8.6.5-1
ghc-libs 8.6.5-1
ghostscript 9.50-2
giflib 5.2.1-1
girara 0.3.3-1
git 2.24.1-4
glew 2.1.0-1
glib-networking 2.62.3-1
glib2 2.62.4-1
glib2-docs 2.62.4-1
glibc 2.30-3
glibmm 2.62.0-1
glslang 7.13.3496-2
glu 9.0.1-1
gmp 6.1.2-3
gnome-common 3.18.0-3
gnu-netcat 0.7.1-7
gnupg 2.2.19-1
gnutls 3.6.11.1-1
go 2:1.13.5-2
gobject-introspection 1.62.0-3
gobject-introspection-runtime 1.62.0-3
gperf 3.1-2
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.4-1
graphene 1.10.0-1
graphite 1:1.3.13-2
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-5
gsettings-desktop-schemas 3.34.0-1
gsl 2.6-1
gsm 1.0.18-1
gst-plugins-base 1.16.2-1
gst-plugins-base-libs 1.16.2-1
gstreamer 1.16.2-1
gtk-doc 1.32-2
gtk-update-icon-cache 1:3.24.13-1
gtk2 2.24.32-1
gtk3 1:3.24.13-1
gtkmm 1:2.24.5-3
guile 2.2.6-1
guile2.0 2.0.14-3
gvim 8.2.0100-1
gzip 1.10-3
harfbuzz 2.6.4-2
harfbuzz-icu 2.6.4-2
haskell-aeson 1.4.6.0-8
haskell-aeson-pretty 0.8.8-9
haskell-ansi-terminal 0.10.2-1
haskell-asn1-encoding 0.9.6-7
haskell-asn1-parse 0.9.5-7
haskell-asn1-types 0.3.3-17
